id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,fico_range_low,fico_range_high,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_d
85540387,9000.0, 36 months,9.49,288.26,B,B2,10+ years,MORTGAGE,42000.0,2016-07-01,Fully Paid,debt_consolidation,IL,740.0,744.0,10061.3455744128,9000.0,1061.35,2018-02-01
28112500,8000.0, 36 months,6.03,243.49,A,A1,5 years,RENT,76000.0,2014-10-01,Fully Paid,debt_consolidation,NY,710.0,714.0,8765.4140619412,8000.0,765.41,2017-10-01
65731570,25000.0, 36 months,12.05,830.96,C,C1,5 years,MORTGAGE,62500.0,2015-11-01,Fully Paid,credit_card,IL,700.0,704.0,29478.834912835096,25000.0,4478.83,2018-02-01
65874747,19550.0, 60 months,20.99,528.79,E,E5,3 years,MORTGAGE,51000.0,2015-12-01,Charged Off,debt_consolidation,IL,670.0,674.0,7232.18,2022.41,3396.01,2016-10-01
57893355,10400.0, 36 months,18.25,377.3,E,E1,3 years,RENT,50000.0,2015-08-01,Fully Paid,moving,IL,680.0,684.0,13571.808491843,10400.0,3171.81,2018-08-01
80589347,20000.0, 36 months,14.46,688.03,C,C4,5 years,RENT,110000.0,2016-06-01,Fully Paid,small_business,CA,710.0,714.0,22105.548956695297,20000.0,2105.55,2017-03-01
36381174,35000.0, 36 months,10.49,1137.43,B,B3,< 1 year,MORTGAGE,130000.0,2014-12-01,Fully Paid,debt_consolidation,FL,725.0,729.0,38236.8,35000.0,3236.8,2015-12-01
624831,6400.0, 60 months,15.57,154.18,D,D5,1 year,RENT,27000.0,2010-12-01,Fully Paid,debt_consolidation,FL,690.0,694.0,9246.9715106817,6400.0,2846.97,2015-12-01
44065675,9875.0, 36 months,15.61,345.28,D,D1,3 years,MORTGAGE,41000.0,2015-03-01,Fully Paid,debt_consolidation,NC,665.0,669.0,11009.42,9875.0,1134.42,2015-12-01
771518,21250.0, 60 months,12.99,483.4,C,C1,Unknown,MORTGAGE,41700.0,2011-06-01,Fully Paid,other,MI,760.0,764.0,29003.500029464,21250.0,7753.5,2016-06-01
62336611,12000.0, 36 months,13.33,406.24,C,C3,10+ years,RENT,49000.0,2015-10-01,Fully Paid,credit_card,MD,665.0,669.0,14016.8497038064,12000.0,2016.85,2017-06-01
1307874,15000.0, 36 months,21.97,572.63,E,E5,10+ years,MORTGAGE,70000.0,2012-05-01,Fully Paid,debt_consolidation,NY,690.0,694.0,20614.3800274995,15000.0,5614.38,2015-06-01
44965290,16825.0, 60 months,18.84,434.97,E,E2,6 years,RENT,42765.0,2015-04-01,Fully Paid,debt_consolidation,CA,700.0,704.0,23642.519179398,16825.0,6817.52,2017-11-01
120597135,6000.0, 36 months,10.42,194.79,B,B3,5 years,MORTGAGE,105000.0,2017-10-01,Fully Paid,car,GA,700.0,704.0,6026.0533333339,6000.0,26.05,2017-11-01
48574629,20000.0, 60 months,18.25,510.6,E,E1,10+ years,MORTGAGE,75000.0,2015-05-01,Fully Paid,debt_consolidation,CA,675.0,679.0,24968.75,20000.0,4968.75,2016-11-01
61539497,12000.0, 36 months,13.33,406.24,C,C3,10+ years,MORTGAGE,53000.0,2015-10-01,Fully Paid,debt_consolidation,MO,685.0,689.0,14694.56965303,12000.0,2613.33,2018-11-01
115299677,4200.0, 36 months,7.21,130.09,A,A3,8 years,OWN,50000.0,2017-08-01,Fully Paid,debt_consolidation,NY,810.0,814.0,4201.045380000301,4200.0,1.05,2017-08-01
26230338,10000.0, 36 months,19.52,369.2,E,E2,10+ years,RENT,51600.0,2014-09-01,Fully Paid,credit_card,CA,700.0,704.0,13290.939758274098,10000.0,3290.94,2017-09-01
6568688,6500.0, 36 months,6.03,197.84,A,A1,1 year,MORTGAGE,65000.0,2013-08-01,Fully Paid,home_improvement,PA,795.0,799.0,7048.16,6500.0,548.16,2015-09-01
12465554,10000.0, 36 months,14.64,344.9,C,C3,< 1 year,RENT,40000.0,2014-04-01,Fully Paid,major_purchase,HI,665.0,669.0,11751.59,10000.0,1751.59,2015-11-01
107695926,10000.0, 60 months,16.02,243.29,C,C5,10+ years,MORTGAGE,33000.0,2017-06-01,Fully Paid,debt_consolidation,AL,700.0,704.0,11793.397926513,10000.0,1793.4,2018-09-01
58572751,8500.0, 36 months,7.89,265.93,A,A5,2 years,RENT,41000.0,2015-08-01,Fully Paid,debt_consolidation,TX,685.0,689.0,9565.684521972,8500.0,1065.68,2018-08-01
1303972,11500.0, 36 months,12.12,382.63,B,B3,6 years,OWN,31000.0,2012-05-01,Fully Paid,debt_consolidation,CA,685.0,689.0,13639.8741610764,11500.0,2139.87,2014-10-01
3369133,7350.0, 36 months,12.12,244.55,B,B3,8 years,RENT,27500.0,2013-02-01,Fully Paid,debt_consolidation,NV,720.0,724.0,8631.8099962833,7350.0,1281.81,2015-03-01
45724459,5000.0, 36 months,16.99,178.24,D,D3,3 years,RENT,21000.0,2015-04-01,Charged Off,other,OH,670.0,674.0,1375.91,326.93,203.07,2015-07-01
