grade,sub_grade,default_amount,default_contribution_pct,cumulative_pct
C,C4,285903400.0,6.84,6.84
C,C5,271940075.0,6.51,13.35
C,C3,248383325.0,5.94,19.29
C,C2,232066775.0,5.55,24.84
C,C1,225050800.0,5.38,30.22
D,D1,217991750.0,5.21,35.44
D,D2,206799850.0,4.95,40.38
D,D3,191962175.0,4.59,44.98
D,D4,189676550.0,4.54,49.51
B,B5,183719325.0,4.4,53.91
D,D5,171092350.0,4.09,58.0
B,B4,168952950.0,4.04,62.04
E,E1,149599125.0,3.58,65.62
B,B3,147109300.0,3.52,69.14
E,E2,143493300.0,3.43,72.58
E,E3,127996675.0,3.06,75.64
E,E4,119462675.0,2.86,78.5
E,E5,113594725.0,2.72,81.21
B,B2,112998150.0,2.7,83.92
B,B1,99973300.0,2.39,86.31
F,F1,81699800.0,1.95,88.26
A,A5,75260250.0,1.8,90.06
F,F2,63536475.0,1.52,91.58
F,F3,53091925.0,1.27,92.85
A,A4,49006425.0,1.17,94.02
F,F4,46331300.0,1.11,95.13
F,F5,39144750.0,0.94,96.07
G,G1,29084525.0,0.7,96.77
A,A3,27981775.0,0.67,97.43
A,A2,22781300.0,0.54,97.98
G,G2,20893875.0,0.5,98.48
A,A1,20075800.0,0.48,98.96
G,G3,17180825.0,0.41,99.37
G,G4,13764850.0,0.33,99.7
G,G5,12535275.0,0.3,100.0
