year,month,default_rate_pct
2007-01-01,2007-06-01,0.0
2007-01-01,2007-07-01,0.0
2007-01-01,2007-08-01,0.2121
2007-01-01,2007-09-01,0.1667
2007-01-01,2007-10-01,0.2128
2007-01-01,2007-11-01,0.1892
2007-01-01,2007-12-01,0.2118
2008-01-01,2008-01-01,0.1813
2008-01-01,2008-02-01,0.1437
2008-01-01,2008-03-01,0.1695
2008-01-01,2008-04-01,0.1742
2008-01-01,2008-05-01,0.1408
2008-01-01,2008-06-01,0.1061
2008-01-01,2008-07-01,0.2048
2008-01-01,2008-08-01,0.0845
2008-01-01,2008-09-01,0.1563
2008-01-01,2008-10-01,0.1563
2008-01-01,2008-11-01,0.1685
2008-01-01,2008-12-01,0.148
2009-01-01,2009-01-01,0.1172
2009-01-01,2009-02-01,0.1308
2009-01-01,2009-03-01,0.1123
2009-01-01,2009-04-01,0.1379
2009-01-01,2009-05-01,0.1317
2009-01-01,2009-06-01,0.1208
2009-01-01,2009-07-01,0.1257
2009-01-01,2009-08-01,0.098
2009-01-01,2009-09-01,0.1269
2009-01-01,2009-10-01,0.1596
2009-01-01,2009-11-01,0.1379
2009-01-01,2009-12-01,0.1037
2010-01-01,2010-01-01,0.129
2010-01-01,2010-02-01,0.1005
2010-01-01,2010-03-01,0.0936
2010-01-01,2010-04-01,0.0992
2010-01-01,2010-05-01,0.1359
2010-01-01,2010-06-01,0.1613
2010-01-01,2010-07-01,0.1224
2010-01-01,2010-08-01,0.1373
2010-01-01,2010-09-01,0.161
2010-01-01,2010-10-01,0.1421
2010-01-01,2010-11-01,0.1267
2010-01-01,2010-12-01,0.1127
2011-01-01,2011-01-01,0.1348
2011-01-01,2011-02-01,0.1302
2011-01-01,2011-03-01,0.145
2011-01-01,2011-04-01,0.142
2011-01-01,2011-05-01,0.1702
2011-01-01,2011-06-01,0.1477
2011-01-01,2011-07-01,0.1504
2011-01-01,2011-08-01,0.1401
2011-01-01,2011-09-01,0.149
2011-01-01,2011-10-01,0.1478
2011-01-01,2011-11-01,0.1541
2011-01-01,2011-12-01,0.1901
2012-01-01,2012-01-01,0.1691
2012-01-01,2012-02-01,0.1645
2012-01-01,2012-03-01,0.152
2012-01-01,2012-04-01,0.1536
2012-01-01,2012-05-01,0.1674
2012-01-01,2012-06-01,0.1871
2012-01-01,2012-07-01,0.177
2012-01-01,2012-08-01,0.1631
2012-01-01,2012-09-01,0.1562
2012-01-01,2012-10-01,0.1536
2012-01-01,2012-11-01,0.1612
2012-01-01,2012-12-01,0.151
2013-01-01,2013-01-01,0.1528
2013-01-01,2013-02-01,0.1534
2013-01-01,2013-03-01,0.1451
2013-01-01,2013-04-01,0.1597
2013-01-01,2013-05-01,0.1662
2013-01-01,2013-06-01,0.1616
2013-01-01,2013-07-01,0.1557
2013-01-01,2013-08-01,0.1531
2013-01-01,2013-09-01,0.158
2013-01-01,2013-10-01,0.1569
2013-01-01,2013-11-01,0.1539
2013-01-01,2013-12-01,0.1531
2014-01-01,2014-01-01,0.1586
2014-01-01,2014-02-01,0.1661
2014-01-01,2014-03-01,0.1698
2014-01-01,2014-04-01,0.1827
2014-01-01,2014-05-01,0.1835
2014-01-01,2014-06-01,0.1931
2014-01-01,2014-07-01,0.1878
2014-01-01,2014-08-01,0.1882
2014-01-01,2014-09-01,0.1887
2014-01-01,2014-10-01,0.1969
2014-01-01,2014-11-01,0.1926
2014-01-01,2014-12-01,0.1848
2015-01-01,2015-01-01,0.2005
2015-01-01,2015-02-01,0.1938
2015-01-01,2015-03-01,0.2084
2015-01-01,2015-04-01,0.2048
2015-01-01,2015-05-01,0.2049
2015-01-01,2015-06-01,0.208
2015-01-01,2015-07-01,0.2022
2015-01-01,2015-08-01,0.2
2015-01-01,2015-09-01,0.206
2015-01-01,2015-10-01,0.1905
2015-01-01,2015-11-01,0.1987
2015-01-01,2015-12-01,0.2086
2016-01-01,2016-01-01,0.1923
2016-01-01,2016-02-01,0.1946
2016-01-01,2016-03-01,0.2165
2016-01-01,2016-04-01,0.2561
2016-01-01,2016-05-01,0.2617
2016-01-01,2016-06-01,0.2431
2016-01-01,2016-07-01,0.2661
2016-01-01,2016-08-01,0.2616
2016-01-01,2016-09-01,0.2486
2016-01-01,2016-10-01,0.2245
2016-01-01,2016-11-01,0.2427
2016-01-01,2016-12-01,0.2493
2017-01-01,2017-01-01,0.2269
2017-01-01,2017-02-01,0.2322
2017-01-01,2017-03-01,0.2294
2017-01-01,2017-04-01,0.238
2017-01-01,2017-05-01,0.2394
2017-01-01,2017-06-01,0.2365
2017-01-01,2017-07-01,0.2406
2017-01-01,2017-08-01,0.229
2017-01-01,2017-09-01,0.2497
2017-01-01,2017-10-01,0.2219
2017-01-01,2017-11-01,0.2089
2017-01-01,2017-12-01,0.2135
2018-01-01,2018-01-01,0.1945
2018-01-01,2018-02-01,0.1948
2018-01-01,2018-03-01,0.1945
2018-01-01,2018-04-01,0.1967
2018-01-01,2018-05-01,0.1813
2018-01-01,2018-06-01,0.1596
2018-01-01,2018-07-01,0.1226
2018-01-01,2018-08-01,0.0883
2018-01-01,2018-09-01,0.0714
2018-01-01,2018-10-01,0.0395
2018-01-01,2018-11-01,0.0147
2018-01-01,2018-12-01,0.0104
