grade,sub_grade,purpose,addr_state,home_ownership,total_exposure,loan_count,default_count,avg_int_rate
A,A1,car,AK,MORTGAGE,5000.0,1,0,6.03
A,A1,car,AK,OWN,3500.0,1,0,5.42
A,A1,car,AL,MORTGAGE,47800.0,5,0,5.482000000000001
A,A1,car,AL,RENT,19000.0,3,0,5.590000000000001
A,A1,car,AR,MORTGAGE,33900.0,5,1,5.746
A,A1,car,AR,OWN,38800.0,2,0,5.32
A,A1,car,AR,RENT,11500.0,1,0,7.05
A,A1,car,AZ,MORTGAGE,149175.0,16,0,5.514375
A,A1,car,AZ,OWN,4500.0,1,0,5.32
A,A1,car,AZ,RENT,4500.0,1,0,5.32
A,A1,car,CA,MORTGAGE,375600.0,43,0,5.583023255813953
A,A1,car,CA,OWN,166000.0,16,1,5.7006250000000005
A,A1,car,CA,RENT,468200.0,50,4,5.654599999999999
A,A1,car,CO,MORTGAGE,160100.0,15,0,5.570000000000001
A,A1,car,CO,OWN,64300.0,5,0,6.0760000000000005
A,A1,car,CO,RENT,43600.0,4,2,5.4725
A,A1,car,CT,MORTGAGE,65200.0,9,0,5.835555555555556
A,A1,car,CT,OWN,45700.0,6,0,5.4383333333333335
A,A1,car,CT,RENT,4800.0,1,0,5.42
A,A1,car,DC,MORTGAGE,5500.0,1,0,5.32
A,A1,car,DC,RENT,56900.0,4,0,5.4725
A,A1,car,DE,MORTGAGE,3200.0,1,0,5.42
A,A1,car,FL,ANY,5000.0,1,0,5.32
A,A1,car,FL,MORTGAGE,297425.0,31,0,5.611935483870969
A,A1,car,FL,OWN,59500.0,9,0,5.645555555555556
A,A1,car,FL,RENT,70500.0,9,1,5.680000000000001
A,A1,car,GA,MORTGAGE,218350.0,25,1,5.704400000000001
A,A1,car,GA,OWN,27150.0,2,0,5.675000000000001
A,A1,car,GA,RENT,65100.0,8,1,5.7387500000000005
A,A1,car,HI,MORTGAGE,20000.0,1,0,5.32
A,A1,car,HI,OWN,8000.0,1,0,5.32
A,A1,car,ID,RENT,15000.0,1,0,5.32
A,A1,car,IL,MORTGAGE,209400.0,21,0,5.599523809523809
A,A1,car,IL,OWN,26300.0,4,0,5.852500000000001
A,A1,car,IL,RENT,45300.0,6,0,5.836666666666666
A,A1,car,IN,MORTGAGE,125600.0,14,2,5.421428571428572
A,A1,car,IN,OWN,7500.0,1,0,6.03
A,A1,car,IN,RENT,16000.0,1,0,5.32
A,A1,car,KS,MORTGAGE,9000.0,1,0,5.32
A,A1,car,KS,OWN,10000.0,1,0,5.32
A,A1,car,KS,RENT,12500.0,2,0,5.675000000000001
A,A1,car,KY,MORTGAGE,6600.0,1,0,5.32
A,A1,car,KY,OWN,10000.0,1,0,5.32
A,A1,car,LA,MORTGAGE,41000.0,5,1,5.336
A,A1,car,LA,OWN,27000.0,3,0,5.793333333333334
A,A1,car,LA,RENT,33800.0,5,1,5.872000000000001
A,A1,car,MA,ANY,10000.0,1,0,5.32
A,A1,car,MA,MORTGAGE,93175.0,12,0,5.675000000000001
A,A1,car,MA,OWN,14200.0,2,0,5.32
A,A1,car,MA,RENT,82500.0,7,2,6.174285714285714
A,A1,car,MD,MORTGAGE,118850.0,11,1,5.845454545454547
A,A1,car,MD,OWN,98700.0,9,0,5.406666666666666
A,A1,car,ME,MORTGAGE,32000.0,1,0,5.32
A,A1,car,MI,MORTGAGE,98200.0,12,1,5.786666666666666
